STR,CUI
prior heart attack,C0155668
myocardial infarction old healed,C0155668
healed myocardial infarction,C0155668
past heart attack,C0155668
previous myocardial infarction,C0155668
healed myocardial infarct,C0155668
past myocardial infarction,C0155668
myocardial infarction old,C0155668
diabetes mellitus nos late onset,C0011860
acute myocardial infarction unspecified site episode of care unspecified,C0155626
acute myocardial infarction of unspecified site episode of care unspecified,C0155626
acute myocardial infarction unspecified site,C0155626
acute mi,C0155626
ami acute myocardial infarction,C0155626
mi acute,C0155626
mi acute myocardial infarction,C0155626
acute myocardial infarction unspecified,C0155626
myocardium infarction acute,C0155626
acute myocardial infarction nos,C0155626
acute myocardial infarction,C0155626
myocardial infarction acute,C0155626
hypertension,C1963138
hypertension ctcae,C1963138
diabetes mellitus slow onset,C0011860
diabetes mellitus type 2,C0011860
diabetes mellitus adult onset,C0011860
type ii diabetes mellitus,C0011860
type ii diabetes,C0011860
diabetes mellitus noninsulin dependent,C0011860
maturity onset diabetes,C0011860
diabetes mellitus stable,C0011860
diabetes mellitus type ii,C0011860
diabetes,C0011860
diabete type 2,C0011860
diabetes mellitus adult onset type,C0011860
diabetes maturity onset,C0011860
diabetes mellitus ketosis resistant,C0011860
diabetes mellitus non insulin dependent,C0011860
ketosis resistant diabetes mellitus,C0011860
ketosis resistant diabetes,C0011860
diabetes mellitus maturity onset,C0011860
stable diabetes mellitus,C0011860
diabetes ketosis resistant,C0011860
diabetes type 2,C0011860
adult onset diabetes,C0011860
diabetes adult onset,C0011860
diabetes type ii,C0011860
non insulin dependent diabetes,C0011860
adult onset diabetes mellitus,C0011860
type 2 diabetes mellitus non insulin dependent,C0011860
slow onset diabetes mellitus,C0011860
non insulin dependent diabetes mellitus,C0011860
ncdmm,C0011860
type 2 diabetes,C0011860
t2dm type 2 diabetes mellitus,C0011860
niddm,C0011860
niddm diabetes mellitus,C0011860
niddm non insulin dependent diabetes mellitus,C0011860
late onset diabetes,C0011860
t2dm diabetes mellitus type 2,C0011860
type 2 diabetes mellitus,C0011860
diabetes non insulin dependent,C0011860
maturity onset diabetes mellitus,C0011860
diabetes mellitus non insulin dep,C0011860
noninsulin dependent diabetes mellitus,C0011860
noninsulin dependent diabetes,C0011860
new york heart association class,C1882083
myocardial inflammation,C0027059
inflammation of heart muscle,C0027059
myocarditis nos,C0027059
myocarditis,C0027059
myocarditis unspecified,C0027059
myocarditides,C0027059
nyhacls,C1882083
nyha class,C1882083
essential hypertension nos,C0085580
systemic primary arterial hypertension,C0085580
hypertension arterial idiopathic,C0085580
essential hypertension,C0085580
hypertension primary,C0085580
essential hypertension unspecified,C0085580
primary hypertension nos,C0085580
unspecified essential hypertension,C0085580
hypertension essential,C0085580
primary hypertension,C0085580
idiopathic hypertension,C0085580
hypertension nos,C0020538
hypertensive cardiovascular disease or syndrome,C0020538
hypertension,C0020538
bp high blood pressure,C0020538
hypertensive disease nos,C0020538
high blood pressure,C0020538
vascular hypertensive disorders,C0020538
ht hypertension,C0020538
blood high pressure,C0020538
hypertensive disease,C0020538
high bp,C0020538
complications affecting other specified body systems not elsewhere classified hypertension,C0020538
hypertensive diseases,C0020538
systemic htn,C0020538
hypertensive disorder,C0020538
vascular hypertension,C0020538
hypertensive disorder systemic arterial,C0020538
hbp high blood pressure,C0020538
arterial hypertension systemic,C0020538
arterial hypertension,C0020538
hyperpiesia,C0020538
blood pressure high,C0020538
htn hypertension,C0020538
elevated blood pressure,C0020538
hypertensive vascular degeneration,C0020538
hypertensive vascular disease,C0020538
vascular hypertensive disorder,C0020538
hyperpiesis,C0020538
blood pressures high,C0020538
myocardial ischemia hypoxia,C0151744
heart diseases ischemic,C0151744
ischaemic heart disease nos,C0151744
ischemic heart diseases,C0151744
disease ischemic heart,C0151744
ihd ischemic heart disease,C0151744
ischaemic heart disease,C0151744
ischemic heart diseases and syndromes,C0151744
heart ischemic disease,C0151744
ischemia myocardial,C0151744
myocardial ischemias,C0151744
diseases ischemic heart,C0151744
myocardial ischemia nos,C0151744
ihd ischaemic heart disease,C0151744
ischemic heart disease,C0151744
cardiac ischaemia,C0151744
cardiac ischemia,C0151744
ischemic heart disease nos,C0151744
ischemic heart disease or syndrome,C0151744
myocardial ischaemia,C0151744
ischaemic heart diseases,C0151744
myocardial ischaemia nos,C0151744
myocardial ischemia,C0151744
heart disease ischemic,C0151744
ischaemia myocardial,C0151744
ischemias myocardial,C0151744
systemic hypertension,C0020538
high blood pressures,C0020538
hypertension arterial,C0020538
systemic arterial hypertension,C0020538
high blood pressure hypertension,C0020538
high blood pressure disorder,C0020538
ventricular arrhythmia,C0085612
respiratory distress syndrome acute,C0748355
ards human,C0748355
human ards,C0748355
acute respiratory distress syndrome,C0748355
respiratory distress acute,C0748355
acute respiratory distress,C0748355
acute distress respiratory,C0748355
acute decompensated heart failure,C1609524
valvular heart diseases,C0018824
cardiac valve disease,C0018824
cardiac valve disorders,C0018824
heart valve diseases,C0018824
heart valvular disease,C0018824
cardiac valvular disease,C0018824
valvular heart disease,C0018824
valvular heart disease nos,C0018824
disease heart valve,C0018824
heart valve disorder,C0018824
cardiac valvulopathy,C0018824
valve heart disease,C0018824
diseases heart valve,C0018824
heart valvular diseases,C0018824
heart valve disease nos,C0018824
valve disease heart,C0018824
cardiac valve disorder,C0018824
valvular heart disorder,C0018824
disorder of heart valve,C0018824
disease heart valvular,C0018824
valvulopathy,C0018824
heart valves diseases,C0018824
heart valve disease,C0018824
heart disease valvular,C0018824
valvular heart disease or syndrome,C0018824
disease heart valves,C0018824
disorders heart valve,C0018824
heart valve disorder nos,C0018824
valvular heart diseases and syndromes,C0018824
heart valve disorders,C0018824
valvular disease heart,C0018824
cardiovascular shock,C0036980
shock heart,C0036980
power failure syndrome,C0036980
heart shock,C0036980
cardiac shock syndrome,C0036980
cardiogenic shock,C0036980
cardiocirculatory collapse,C0036980
heart shocking,C0036980
shock cardiogenic,C0036980
thrombosis coronary,C0010072
coronary thrombosis,C0010072
coronary thromboses,C0010072
coronary artery thrombosis,C0010072
ct coronary thrombosis,C0010072
thromboses coronary,C0010072
persistent depressive disorder dysthymia,C0013415
dysthymia disorder,C0013415
disorder dysthymic,C0013415
dysthymia nos,C0013415
dysthymia,C0013415
dysthymic disorder,C0013415
dysthymic disorders,C0013415
dysfunctions ventricular,C0242973
ventricular dysfunctions,C0242973
ventricular dysfunction,C0242973
dysfunction ventricular,C0242973
cv surgery result dyspnea,C2024878
dyspnea,C2024878
angina,C2024883
diastolic congestive heart failure,C2183328
diastolic chf,C2183328
systolic dysfunction,C0749225
conduction disorder unspecified,C0264886
disorder of heart conduction,C0264886
conduction disorders,C0264886
cardiac conduction defect,C0264886
cardiac dysrhythmia,C0264886
cardiac conduction defects,C0264886
conduction disorder of the heart,C0264886
disorder of cardiac conduction,C0264886
conduction disorder nos,C0264886
cardiac rhythm disorder,C0264886
cardiac dysrhythmias,C0264886
cardiac conduction system diseases,C0264886
conduction disorder of the heart nos,C0264886
conduction disorder,C0264886
cardiac conduction system disease,C0264886
cardiac conduction disorders,C0264886
cardiac conduction system,C0264886
heart conduction disorder,C0264886
conductions defect,C0264886
conduction defect,C0264886
cardiac conduction disorder,C0264886
conduction defects,C0264886
cardiomyopathy hypertrophic,C0007194
hypertrophic myocardiopathy,C0007194
hypertrophic cardiomyopathies,C0007194
enlarged and thickened heart muscle,C0007194
hypertrophic cardiomyopathy,C0007194
obstructive cardiomyopathy,C0007194
hcm hypertrophic cardiomyopathy,C0007194
cardiomyopathies hypertrophic,C0007194
hypertrophic heart disease,C0007194
dies patient,C1306577
death nos,C1306577
death,C1306577
deaths,C1306577
patient died,C1306577
general body state finding died,C1306577
has died,C1306577
hepatojugular reflux,C0239949
shallow respirations,C0221161
breaths shallow,C0221161
shallow respiration,C0221161
shallow respiration was observed,C0221161
breathing shallow,C0221161
shallow breathing,C0221161
respirations shallow,C0221161
shallow breath,C0221161
decompensated cardiac failure,C0581377
decompensated heart failure,C0581377
cor pulmonale chronic,C0238074
chronic cor pulmonale,C0238074
cor chronic cor pulmonale,C0238074
chronic cor pulmonale nos,C0238074
cor pulmonale,C0238074
chronic pulmonary heart disease,C0238074
chronic pulmonary heart disease unspecified,C0238074
chronic pulmonary heart disease nos,C0238074
chronic cardiopulmonary disease,C0238074
ventricular arrhythmia nos,C0085612
ventricular arrhythmias,C0085612
arrhythmias ventricular,C0085612
dysrhythmias ventricular,C0085612
arrhythmia ventricular,C0085612
ventricular dysrhythmia,C0085612
stroke syndromes,C1263853
end stage renal failure,C2316810
end stage kidney failure,C2316810
end stage renal disease,C2316810
end stage kidney disease,C2316810
renal failure endstage,C2316810
chronic kidney disease stage 5,C2316810
stage 5 chronic kidney disease,C2316810
chronic renal failure,C2316810
ckd stage 5,C2316810
heart failure left sided,C0023212
failure heart left,C0023212
left sided heart failure syndrome,C0023212
left heart failure,C0023212
left cardiac failure,C0023212
lvf left ventricular failure,C0023212
left ventricular failure,C0023212
failure left heart,C0023212
left sided heart failure,C0023212
failure left ventricular,C0023212
left ventricular failures,C0023212
left ventricular insufficiency,C0023212
failure heart left sided,C0023212
pulmonary oedema cardiac cause,C0023212
failure heart left side,C0023212
pulmonary edema cardiac cause,C0023212
cardiac failure left,C0023212
heart failure left,C0023212
left side heart failure,C0023212
has died,C1546956
stroke syndrome,C1263853
paralytic stroke nos,C1263853
syndrome stroke,C1263853
paralytic stroke,C1263853
patient expired,C1546956
patient outcome died,C1546956
weight loss ctcae,C2911645
weight loss,C2911645
diabetes resolved,C1278603
exercise tolerance decreased,C0424551
heart failure diastolic,C1135196
diastolic heart failure unspecified,C1135196
diastolic heart failure,C1135196
heart failure preserved ejection fraction,C1135196
diastolic failure heart,C1135196
heart failure normal ejection fraction,C1135196
diastolic heart failures,C1135196
exercise intolerance,C0424551
low exercise endurance,C0424551
intolerance exercise,C0424551
decreased exercise tolerance,C0424551
impaired exercise tolerance,C0424551
inability to exercise,C0424551
decreased ability to exercise,C0424551
poor exercise tolerance,C0424551
retention water,C0542203
renal insufficiencies,C1565489
impaired renal function,C1565489
renal impairment,C1565489
kidney impairment,C1565489
impairment renal,C1565489
renal insufficiency,C1565489
kidney insufficiency,C1565489
renal impairment nos,C1565489
insufficiency kidney,C1565489
impairments renal,C1565489
kidney insufficiencies,C1565489
renal disorders renal impairment,C1565489
renal dysfunction,C1565489
function impaired renal,C1565489
insufficiency renal,C1565489
cardiac rate disorder,C1744601
abnormalities of heart beat,C1744601
unspecified abnormalities of heart beat,C1744601
cardiac rate abnormal,C1744601
abnormal beats heart,C1744601
abnormal cardiac rate nos,C1744601
abnormal heart beat,C1744601
abnormal cardiac rate,C1744601
abnormal heartbeat,C1744601
heart rate abnormal,C1744601
abnormal heart rate,C1744601
water retention,C0542203
water retention of,C0542203
retention of water,C0542203
coronary artery disorders,C1956346
cardiac catheterization cardiac output in liters per minute,C2007409
cardiac catheterization co in liters per minute,C2007409
cardiac output,C2007409
disorder of coronary artery,C1956346
coronary artery disorder,C1956346
coronary heart disease,C1956346
coronary artery disease nos,C1956346
coronary disease,C1956346
disorder of coronary arteries,C1956346
disease coronary artery,C1956346
cad coronary artery disease,C1956346
coronary artery disease,C1956346
coronary artery diseases,C1956346
disorder coronary artery,C1956346
artery disease coronary,C1956346
artery diseases coronary,C1956346
pathologic vasoconstriction,C1456863
third heart sound,C0232278
early diastolic gallop,C0232278
s3 heart sound,C0232278
s3 gallop,C0232278
protodiastolic gallop with abnormally audible third heart sound,C0232278
gallop s3,C0232278
protodiastolic gallop,C0232278
ventricular gallop,C0232278
myocardial depression,C0340515
dysfunction heart,C0340515
myocardial dysfunction,C0340515
heart dysfunction,C0340515
hypotension ctcae,C3163620
hypotension,C3163620
clinical depression,C2362914
systolic congestive heart failure,C2039715
systolic chf,C2039715
edema secondary,C1265805
secondary edema,C1265805
ejection fraction,C2700378
vasoconstriction,C1456863
resting dyspnoea,C0743330
dyspnea resting,C0743330
dyspnea rest,C0743330
shortness of breath rest,C0743330
difficulty breathing at rest,C0743330
sobar shortness of breath at rest,C0743330
breath rest shortness,C0743330
breathless at rest,C0743330
shortness of breath at rest,C0743330
dyspnoea at rest,C0743330
dyspnea at rest,C0743330
resting dyspnea,C0743330
rest dyspnea,C0743330
breathlessness at rest,C0743330
biventricular congestive heart failure,C0685095
biventricular failure,C0685095
biventricular heart failure,C0685095
congestive heart failure biventricular,C0685095
depression clinical,C2362914
clinical depressions,C2362914
cardiomyopathy stress,C1739395
new york heart association class iii,C1882086
nyha class iii,C1882086
dilated cardiomyopathy of ischemic origin,C1960867
ischemic congestive cardiomyopathy,C1960867
ischaemic congestive cardiomyopathy,C1960867
dilated cardiomyopathy of ischaemic origin,C1960867
grade 2 obesity ctcae,C1556380
grade 2 obesity,C1556380
ctcae grade 2 obesity,C1556380
obesity grade 2,C1556380
class ii obesity,C1556380
syndrome reno cardiac,C2242703
renocardiac syndromes,C2242703
cardiorenal syndrome,C2242703
reno cardiac syndrome,C2242703
cardio renal syndrome,C2242703
reno cardiac syndromes,C2242703
syndrome cardiorenal,C2242703
syndromes renocardiac,C2242703
syndromes cardiorenal,C2242703
syndrome renocardiac,C2242703
cardio renal syndromes,C2242703
cardiorenal syndromes,C2242703
syndromes reno cardiac,C2242703
renocardiac syndrome,C2242703
syndromes cardio renal,C2242703
syndrome cardio renal,C2242703
broken heart syndrome,C1739395
transient apical ballooning syndrome,C1739395
stress cardiomyopathy,C1739395
left ventricular ballooning syndrome,C1739395
syndromes broken heart,C1739395
syndrome broken heart,C1739395
syndrome tako tsubo,C1739395
syndrome apical ballooning,C1739395
cardiomyopathy tako tsubo,C1739395
tako tsubo cardiomyopathy,C1739395
left ventricular apical ballooning syndrome,C1739395
apical ballooning syndrome,C1739395
takotsubo syndrome,C1739395
takotsubo cardiomyopathy,C1739395
cardiomyopathy takotsubo,C1739395
tako tsubo syndromes,C1739395
tako tsubo syndrome,C1739395
syndromes tako tsubo,C1739395
heart regurgitation valve,C0264879
cardiac conduction abnormality,C1842820
abnormality of cardiac conduction,C1842820
abnormality of cardiac conduction system,C1842820
heart conduction disorder,C1842820
right sided heart failure,C2939447
right ventricular failure nos,C2939447
right ventricular failure,C2939447
heart failure right sided,C2939447
rvf right ventricular failure,C2939447
right ventricular insufficiency,C2939447
impaired right ventricular function,C2939447
right heart failure,C2939447
rhf right heart failure,C2939447
right ventricular failures,C2939447
right ventricular impairment,C2939447
right sided congestive heart failure,C2939447
myocardial disorders,C3241958
myocardial disorder,C3241958
hypertensive heart disease with heart failure,C1400066
grade 1 dyspnea ctcae,C1557662
grade 1 dyspnea,C1557662
hypertensive heart failure nos,C0264652
hypertensive heart failure,C0264652
hfpef heart failure with preserved ejection fraction,C2960127
heart failure with normal ejection fraction,C2960127
heart failure with preserved ejection fraction,C2960127
cardiac failure with normal ejection fraction,C2960127
cardiac conduction defects,C1842820
cardiac conduction abnormalities,C1842820
grade 1 atrial fibrillation,C1560312
grade 1 atrial fibrillation ctcae,C1560312
grade 2 atrial fibrillation ctcae,C1560313
grade 2 atrial fibrillation,C1560313
cardiac valve insufficiency,C0264879
heart valve incompetence nos,C0264879
heart valve incompetence,C0264879
valvular regurgitation,C0264879
heart valve insufficiency,C0264879
heart valve regurgitation,C0264879
valvular insufficiency,C0264879
heart valve insufficiency nos,C0264879
valvular insufficiency regurgitation,C0264879
heart valve regurgitation nos,C0264879
valvular regurgitation nos,C0264879
heart regurgitation valves,C0264879
grade 3 hypertension ctcae,C1556274
grade 2 weight loss,C1559079
grade 2 weight loss ctcae,C1559079
grade 1 weight loss,C1559078
grade 1 weight loss ctcae,C1559078
myocardial failure,C1959583
myocardial failure nos,C1959583
grade 3 obesity ctcae,C1556381
class iii obesity,C1556381
obesity grade 3,C1556381
ctcae grade 3 obesity,C1556381
grade 3 obesity,C1556381
ctcae grade 4 obesity,C1556382
grade 4 obesity ctcae,C1556382
grade 4 obesity,C1556382
grade 3 hypertension,C1556274
grade 2 hypertension ctcae,C1556273
grade 2 hypertension,C1556273
grade 3 hypotension ctcae,C1556279
grade 3 hypotension,C1556279
grade 2 hypotension ctcae,C1556278
grade 2 hypotension,C1556278
grade 3 pulmonary hypertension,C1556307
severely,C0205082
grade high,C0205082
gravi,C0205082
severe,C0205082
gravies,C0205082
high grade,C0205082
gravy,C0205082
gravis,C0205082
major,C0205082
grade 3 pulmonary hypertension ctcae,C1556307
grade 1 depression,C1561366
grade 1 depression ctcae,C1561366
grade 1 hypertension,C1556272
grade 2 depression ctcae,C1561367
grade 2 depression,C1561367
grade 1 hypertension ctcae,C1556272
feeling weakness,C3714552
congenital valvular regurgitation,C0265829
congenital insufficiency of heart valve nos,C0265829
congenital valvular insufficiency nos,C0265829
congenital anomaly of heart valve insufficiency,C0265829
congenital insufficiency of heart valve,C0265829
valvular regurgitation congenital,C0265829
congenital valvular insufficiency,C0265829
congenital valvular regurgitation nos,C0265829
grade 3 severe adverse event,C1519275
severe,C1519275
severe adverse event,C1519275
standard toxicity grade 3,C1519275
common terminology criteria for adverse events grade 3,C1519275
ctcae grade 3,C1519275
grade 3,C1519275
generalized weakness,C3714552
feelings of weakness,C3714552
feels weak,C3714552
debility nos,C3714552
debility,C3714552
asthenic,C3714552
lassitude,C3714552
loss strength,C3714552
feeling weak,C3714552
enfeebled,C3714552
weakness generalized,C3714552
weaknesses,C3714552
debilities,C3714552
debility unspecified,C3714552
strength decreased,C3714552
general debility,C3714552
loss of strength,C3714552
unspecified debility,C3714552
generalised weakness,C3714552
weakness general,C3714552
weakness generalised,C3714552
feel weak,C3714552
weakness,C3714552
general weakness,C3714552
strength loss of,C3714552
strength loss,C3714552
of strength loss,C3714552
weak feeling,C3714552
stroke ctcae,C4554100
stroke,C4554100
5 severe,C5203119
intensity and distress 5,C5203119
severe,C5203119
better,C4084203
improved answer to question,C4084203
improved,C4084203
myocarditis ctcae 5 0,C4552880
increased risk,C4699158
deaths,C4738113
fatalities,C4738113
moderate adverse event,C4759845
grade 2,C4759845
ctcae v4 grade 2,C4759845
moderate,C4759845
moderate,C5201148
moderately,C5201148
weight reduction,C1262477
losses weight,C1262477
decreases weight,C1262477
weight reductions,C1262477
loses weight,C1262477
decrease weight,C1262477
losing weight,C1262477
weight loss progressive,C1262477
lose weight,C1262477
decreased body weight,C1262477
weight loss on exam,C1262477
lost weight,C1262477
losing wt,C1262477
wt loss,C1262477
decreased weight,C1262477
weightloss,C1262477
weight decreased,C1262477
reduction weight,C1262477
loss wt,C1262477
weight decreasing,C1262477
loss weight,C1262477
weight decrease,C1262477
reductions weight,C1262477
weight losses,C1262477
weight loss,C1262477
progressive weight loss,C1262477
loss of weight,C1262477
fatigue ctcae 5,C4554645
fatigue ctcae 5 0,C4554645
fatigue,C4554645
bmiq20,C4759928
obesity,C4759928
body mass index quantitative trait locus 20,C4759928
diabetes nos,C0011847
diabetes,C0011847
heart failure,C4554158
heart failure ctcae,C4554158
myocarditis ctcae 5,C4552880
myocarditis,C4552880
pulmonary edema ctcae,C4553407
pulmonary edema,C4553407
myocardial infarction ctcae,C4552959
dyspnea ctcae,C1963100
dyspnea,C1963100
tachycardia,C3827868
tachycardia by ecg finding,C3827868
tachycardia by ekg finding,C3827868
myocardial infarction,C4552959
hypertensive pulmonary arterial disease,C2973725
ductus arteriosus patent,C3495549
persistent ductus arteriosus,C3495549
patent ductus arteriosus,C3495549
patent ductus arteriosus persisting type,C3495549
acute myocardial infarction by ecg finding,C3541950
acute myocardial infarction,C3541950
acute myocardial infarction by ekg finding,C3541950
exacerbation,C4086268
heart function,C4521692
cardiac physiological function,C4521692
obstructive hypertrophic cardiomyopathy,C4551472
cardiomyopathy obstructive,C4551472
obstructive cardiomyopathy hypertrophic,C4551472
obstructive cardiomyopathy,C4551472
cardiomyopathies hypertrophic obstructive,C4551472
hocm hypertrophic obstructive cardiomyopathy,C4551472
cardiomyopathy hypertrophic obstructive,C4551472
hypertrophic cardiomyopathy,C4551472
hypertrophic cardiomyopathy obstructive,C4551472
hypertrophic obstructive cardiomyopathies,C4551472
hypertrophic obstructive cardiomyopathy,C4551472
obstructive cardiomyopathies hypertrophic,C4551472
ventricular dilation,C3278923
enlarged ventricles,C3278923
dilated ventricles,C3278923
ventricular dilatation,C3278923
dilated cerebral ventricles,C3278923
dilated cerebral ventricle,C3278923
ventriculomegaly,C3278923
cerebral ventricular dilatation,C3278923
enlarged cerebral ventricles,C3278923
enlarged ventricular system,C3278923
large cerebral ventricles and cisternae,C3278923
pulmonary hypertensive arterial disease,C2973725
hypertension pulmonary arterial,C2973725
pulmonary artery hypertension,C2973725
increased blood pressure in blood vessels of lungs,C2973725
pulmonary arterial hypertension,C2973725
arterial hypertension pulmonary,C2973725
pulmonary hypertension precapillary arterial,C2973725
functional status,C0598463
ventricular arrhythmia ctcae 5 0,C4553764
ventricular arrhythmia ctcae 5,C4553764
ventricular arrhythmia,C4553764
cardiac dysfunction,C3277906
cardiac failure with reduced ejection fraction,C3839346
heart failure with reduced ejection fraction,C3839346
hfref heart failure with reduced ejection fraction,C3839346
ventricular tachycardia,C4554446
ventricular tachycardia ctcae 5 0,C4554446
ventricular tachycardia ctcae 5,C4554446
reduced ejection fraction,C4022792
contractility,C5424789
status functional,C0598463
reduced systolic function,C4025008
canadian cardiovascular society grading scale class iii,C2698969
class iii angina,C2698969
canadian cardiovascular society classification 3,C2698969
angina with mild exertion,C2698969
ccs class 3,C2698969
class iii,C2698969
pulmonary hypertension diagnosis,C0020542
grade 3 fatigue ctcae,C1556364
grade 3 fatigue,C1556364
grade 2 fatigue ctcae,C1556363
grade 2 fatigue,C1556363
grade 1 fatigue ctcae,C1556362
grade 1 fatigue,C1556362
feline hypertrophic cardiomyopathy,C0685102
ischemic chest pain diagnosis,C0002962
cardiomyopathy disorder,C0878544
myocardial disease disorder,C0878544
cardiomyopathy diagnosis,C0878544
myocardium disease,C0878544
myocardial disorder,C0878544
myocardial disorders,C0878544
angina disorder,C0002962
ischemic chest pain finding,C0002962
angina pectoris diagnosis,C0002962
fatigue lassitude,C0015672
pressure finding,C0460139
fh ischemic heart disease,C1313980
fh ischaemic heart disease,C1313980
lack of energy finding,C0015672
fatigue finding,C0015672
fatigue diagnosis,C0015672
rndx fatigue diagnosis,C0015672
tatt,C0015672
lack energy,C0015672
damage morphologic abnormality,C0010957
ventricular dilatation disorder,C0264733
dilatation of cardiac ventricle disorder,C0264733
hepatic congestion disorder,C0267821
jugular venous engorgement finding,C0425687
jvd,C0425687
disorder cardiac nos,C0018799
heart trouble,C0018799
heart disease diagnosis,C0018799
rndx cardiac diagnosis,C0018799
heart diseases general terms,C0018799
disease heart,C0018799
cordis morbus,C0018799
atrial fibrillation af,C0004238
renal insufficiency disorder,C0035078
renal failure syndrome disorder,C0035078
renal failure diagnosis,C0035078
failure renal nos,C0035078
atrial fibrillation disorder,C0004238
atrial fibrillation diagnosis,C0004238
af,C0004238
afib,C0004238
atrium fibrillation,C0004238
fibrillation atrial or auricular,C0004238
body fluid retention disorder,C0268000
depression disease,C0011570
depression monopolar,C0011570
state depressive,C0011570
shortness of breath sob,C0013404
shortness of breath symptom,C0013404
difficulty breathing finding,C0013404
dyspnea finding,C0013404
difficulty breathing symptom,C0013404
sob,C0013404
breath shortness of breath,C0013404
shortness of breath breath,C0013404
attack heart nos,C0027051
myocardial infarction mi,C0027051
myocardial infarction diagnosis,C0027051
myocardial infarction disorder,C0027051
mi,C0027051
infarction heart,C0027051
ami,C0027051
mies,C0027051
infarction mi myocardial,C0027051
peripheral edema morphologic abnormality,C0085649
peripheral edema disorder,C0085649
edema of extremity finding,C0085649
ventricular tachycardia vtach,C0042514
ventricular tachyarrhythmia disorder,C0042514
ventricular tachycardia disorder,C0042514
ventricular tachycardia diagnosis,C0042514
ventricular tachycardia v tach,C0042514
tachycardias ventricular,C0042514
vt,C0042514
atherosclerosis of coronary artery diagnosis,C0010054
coronary arteriosclerosis disorder,C0010054
coronary arteriosclerosis diagnosis,C0010054
atherosclerosis of coronary artery disorder,C0010054
ashd,C0010054
disease atherosclerotic heart,C0010054
disease or disorder arteriosclerotic coronary artery,C0010054
disease or disorder arteriosclerotic heart,C0010054
heart arteriosclerosis,C0010054
sclerosis cardiac,C0010054
sclerosis coronary,C0010054
arteriosclerosis heart,C0010054
finding of increased blood pressure finding,C0497247
elevated bp excluding k86 k87,C0497247
acute pulmonary edema disorder,C0155919
acute pulmonary edema diagnosis,C0155919
depression emotion,C0011570
stroke cerebrum,C0038454
cvas cerebrovascular accident,C0038454
cva cerebral vascular accident,C0038454
cerebrovascular accident disorder,C0038454
syndrome stroke,C0038454
cerebrovascular accident cva,C0038454
cva,C0038454
cerebral accident,C0038454
cerebral apoplexy,C0038454
accident cerebral,C0038454
stroke apoplectic,C0038454
apoplexy stroke,C0038454
cerebral infarction,C0038454
retention fluid,C0268000
major depressive disorder diagnosis,C1269683
shock diagnosis,C0036974
major depressive disorder disorder,C1269683
mdd,C1269683
coronary artery disease,C0010068
diastolic dysfunction finding,C0520863
asthenia physical finding,C0004093
asthenia finding,C0004093
obstructive airways disease chronic,C0024117
chronic obstructive pulmonary disease copd,C0024117
chronic obstructive lung disease disorder,C0024117
chronic obstructive pulmonary disease diagnosis,C0024117
coad,C0024117
chronic obstructive pulmonary disease finding,C0024117
congestive heart failure disorder,C0018802
congestive heart failure diagnosis,C0018802
chf,C0018802
failure congestive cardiac,C0018802
chronic heart failure,C0018802
congestive heart,C0018802
heart congestive,C0018802
heart disease congestive,C0018802
ccf,C0018802
chronic cardiac failure diagnosis,C0264716
chronic heart failure disorder,C0264716
ischemia diagnosis,C0022116
ischemia disorder,C0022116
edema morphologic abnormality,C0013604
hydrops morphologic abnormality,C0013604
edema finding,C0013604
edema diagnosis,C0013604
edema physical finding,C0013604
swells,C0013604
asthenia diagnosis,C0004093
asthenias,C0004093
generalized weakness,C0004093
general debility,C0004093
strength loss of,C0004093
strength decreased,C0004093
strength loss,C0004093
feels weak,C0004093
of strength loss,C0004093
weak feeling,C0004093
debility,C0004093
lassitude,C0004093
feel weak,C0004093
feeling weakness,C0004093
loss of strength,C0004093
loss strength,C0004093
weak,C0004093
general weakness,C0004093
weakness general,C0004093
diabetes mellitus dm,C0011849
diabetes mellitus diagnosis,C0011849
diabetes mellitus disorder,C0011849
diabetes dm,C0011849
diabetes mellitus e08 e13,C0011849
dm,C0011849
atrial fibrillation adverse event,C1963067
primary restrictive cardiomyopathy disorder,C0007196
restrictive cardiomyopathy disorder,C0007196
constrictive cardiomyopathy diagnosis,C0007196
restrictive cardiomyopathy diagnosis,C0007196
dyspnea during exertion symptom,C0231807
dyspnea on exertion finding,C0231807
dyspnea on exertion doe,C0231807
systolic heart failure disorder,C1135191
unspecified systolic congestive heart failure,C1135191
diastolic dysfunction diagnosis,C0520863
obesity disorder,C0028754
obese finding,C0028754
obesity diagnosis,C0028754
hypertensive heart disease disorder,C0152105
valvular insufficiency morphologic abnormality,C0042300
incompetence of any valvular structure finding,C0042300
hypertensive heart disease diagnosis,C0152105
ventricular septal defect vsd,C0018818
benign essential hypertension disorder,C0155583
benign essential hypertension diagnosis,C0155583
patent ductus arteriosus disorder,C0013274
patent ductus arteriosus diagnosis,C0013274
pda,C0013274
d arteriosus nonclosure,C0013274
d arteriosus open,C0013274
d arteriosus persistent,C0013274
nonclosure ductus arteriosus,C0013274
open ductus arteriosus botalli,C0013274
persistent ductus arteriosus botalli,C0013274
pda1,C0013274
patent ductus arteriosus persisting type,C0013274
obesity adverse event,C1963185
congestive cardiomyopathy disorder,C0007193
primary dilated cardiomyopathy disorder,C0007193
dilated cardiomyopathy diagnosis,C0007193
congestive cardiomyopathy diagnosis,C0007193
cardiomyopathy cardiomyopathy dilated,C0007193
heart dilatation cardiomyopathy,C0007193
